aub, 2020-05-07, 12.04, 11.77, 12.09, 11.74, 386623
wgx, 2020-05-07, 2.17, 2.15, 2.17, 2.06, 834767
mhh, 2020-05-07, 1.42, 1.435, 1.435, 1.41, 498911
dui, 2020-05-07, 4, 4, 4, 3.97, 73191
vg1, 2020-05-07, 2.08, 2.1, 2.11, 2.08, 219807
gma, 2020-05-07, 2.05, 1.99, 2.06, 1.95, 973149
fcl, 2020-05-07, 3.18, 3.09, 3.24, 3.05, 785886
ssm, 2020-05-07, 2.09, 2.06, 2.13, 2.02, 1721856
gnc, 2020-05-07, 3.56, 3.53, 3.57, 3.49, 808752
lep, 2020-05-07, 4.1, 4.1, 4.115, 4.06, 58981
wle, 2020-05-07, 1.01, 0.99, 1.015, 0.99, 677288
lic, 2020-05-07, 7.7, 7.66, 7.84, 7.53, 154660
tgr, 2020-05-07, 3.71, 3.72, 3.75, 3.69, 1069533
nws, 2020-05-07, 15.61, 15.54, 15.8, 15.49, 167559
cni, 2020-05-07, 1.575, 1.52, 1.575, 1.51, 1721032
nic, 2020-05-07, 0.585, 0.575, 0.585, 0.555, 4378285
kgn, 2020-05-07, 8.29, 8.56, 8.58, 8.16, 1098530
gud, 2020-05-07, 8.53, 8.8, 8.8, 8.5, 188188
lov, 2020-05-07, 7.2, 7.39, 7.44, 7.02, 201069
slk, 2020-05-07, 3.59, 3.65, 3.66, 3.55, 81124
jin, 2020-05-07, 12.56, 12.45, 12.6, 12.15, 496478
sfr, 2020-05-07, 4.15, 4.25, 4.29, 4.09, 1171326
nbi, 2020-05-07, 1.63, 1.61, 1.63, 1.605, 131762
agg, 2020-05-07, 8.3, 8.03, 8.3, 7.91, 23049
siq, 2020-05-07, 5.2, 5.15, 5.28, 5.11, 604291
ixj, 2020-05-07, 107.81, 105.14, 107.81, 104.795, 107155
shv, 2020-05-07, 7.48, 7.35, 7.48, 7.29, 160102
lsf, 2020-05-07, 1.075, 1.07, 1.08, 1.065, 970888
mgx, 2020-05-07, 0.605, 0.6, 0.61, 0.595, 698568
